iso3,clean_cooking_access,co2_pc,co2_total_mt,control_corruption,dependency_ratio,elec_access,energy_intensity,energy_use_pc,fdi_net_inflow_pct_gdp,fertility_rate,fossil_fuel_pct,gcf_pct_gdp,gdp_growth,gdp_pc_ppp_const,gini,gov_effectiveness,gross_fixed_capital_pct_gdp,gross_savings_pct_gdp,health_exp_pct_gdp,hightech_exports_pct,ict_service_exports_pct,internet_users,life_expectancy,patent_apps_resident,pm25_exposure,political_stability,population,poverty_215,regulatory_quality,renew_share,rnd_exp_pct_gdp,rule_of_law,secondary_enroll,tertiary_enroll,trade_pct_gdp,unemployment,urban_pct,voice_accountability
NCL,0,30,30,4,30,29,23,0,25,30,0,27,13,0,0,0,27,15,0,8,15,22,30,0,0,7,30,0,0,28,0,7,1,0,30,30,30,7
NER,24,30,30,26,30,29,22,29,30,30,28,30,30,30,6,26,30,30,24,16,30,29,30,0,29,26,30,6,26,27,0,26,24,15,30,30,30,26
NGA,24,30,30,26,30,29,22,29,30,30,29,0,30,30,7,26,0,0,24,16,20,29,30,8,29,26,30,7,26,27,2,26,21,6,0,30,30,26
NIC,24,30,30,26,30,29,22,29,30,30,29,30,30,30,5,26,19,30,24,18,30,30,30,8,29,26,30,5,26,27,7,26,13,4,30,30,30,26
NLD,24,30,30,26,30,29,23,30,30,30,30,30,30,30,19,26,30,30,25,18,30,30,30,27,29,26,30,19,26,27,28,26,21,19,30,30,30,26
NOR,24,30,30,26,30,29,23,30,30,30,30,30,30,30,23,26,30,30,24,18,25,30,30,27,29,26,30,23,26,27,25,26,24,24,30,30,30,26
NPL,24,30,30,26,30,28,22,29,29,30,29,30,30,30,4,26,30,30,24,14,23,30,30,8,29,26,30,4,26,27,3,26,26,26,30,30,30,26
NRU,24,30,30,18,30,29,19,0,7,30,0,0,30,30,1,18,0,0,24,0,0,9,30,0,29,22,30,1,18,28,0,26,17,0,17,0,30,26
NZL,24,30,30,26,30,29,23,30,30,30,30,30,30,30,0,26,30,25,25,18,25,30,30,27,29,26,30,0,26,27,14,26,25,12,30,30,30,26
OMN,24,30,30,26,30,29,22,29,30,30,20,30,30,30,0,26,30,30,24,12,29,29,30,7,29,26,30,0,26,27,14,26,26,23,30,30,30,26
PAK,24,30,30,26,30,26,22,29,30,30,29,30,30,30,12,26,30,30,24,17,30,26,30,26,29,26,30,12,26,27,16,26,21,22,30,30,30,26
PAN,24,30,30,26,30,29,22,29,30,30,29,30,30,30,27,26,30,30,24,17,30,30,30,13,29,26,30,27,26,27,29,26,19,24,30,30,30,26
PER,24,30,30,26,30,29,22,29,30,30,29,30,30,30,28,26,30,30,24,17,30,30,30,25,29,26,30,28,26,27,21,26,30,13,30,30,30,26
PHL,24,30,30,26,30,29,22,29,30,30,29,30,30,30,10,26,25,30,24,8,26,30,30,27,29,26,30,10,26,27,11,26,25,27,30,30,30,26
PLW,24,30,30,17,30,29,23,0,26,30,0,20,30,29,0,17,20,19,24,5,19,6,30,0,29,22,30,0,17,28,0,26,14,7,20,0,30,26
PNG,24,30,30,26,30,28,23,0,30,30,0,10,30,30,2,26,10,10,24,7,22,29,30,2,29,26,30,2,26,28,1,26,8,4,10,30,30,26
POL,24,30,30,26,30,29,23,30,30,30,30,30,30,30,28,26,30,30,25,18,30,30,30,27,29,26,30,28,26,27,28,26,24,24,30,30,30,26
PRI,0,30,30,26,30,29,23,0,0,30,0,30,30,30,0,26,30,0,0,0,0,27,30,0,29,26,30,0,26,28,3,26,11,17,30,30,30,26
PRK,24,30,30,26,30,15,22,29,0,30,29,0,0,0,0,26,0,0,0,0,0,8,30,11,29,26,30,0,26,27,0,26,1,4,0,30,30,26
PRT,24,30,30,26,30,29,23,30,30,30,30,30,30,30,21,26,30,30,25,18,30,30,30,27,29,26,30,21,26,27,28,26,23,9,30,30,30,26
PRY,24,30,30,26,30,29,22,29,30,30,29,30,30,30,27,26,30,30,24,18,30,29,30,15,29,26,30,27,26,27,19,26,24,13,30,30,30,26
PSE,0,0,0,26,30,27,23,0,30,30,0,30,30,30,9,26,30,30,24,17,25,23,30,0,29,26,30,9,26,28,5,26,28,28,30,28,30,26
PYF,0,30,30,4,30,29,23,0,30,30,0,20,30,0,0,0,20,12,0,16,15,22,30,0,0,6,30,0,0,28,0,6,0,0,26,30,30,6
QAT,24,30,30,26,30,29,22,29,30,30,17,28,30,30,1,26,0,12,24,15,14,30,30,8,29,26,30,1,26,27,4,26,28,29,28,30,30,26
ROU,24,30,30,26,30,29,23,29,30,30,29,30,30,30,28,26,30,30,24,18,30,30,30,27,29,26,30,28,26,27,28,26,23,23,30,30,30,26
RUS,24,30,30,26,30,29,22,29,30,30,29,30,30,30,28,26,30,30,24,15,30,30,30,27,29,26,30,28,26,27,29,26,25,29,30,30,30,26
RWA,24,30,30,26,30,27,23,29,30,30,29,30,30,30,6,26,30,15,24,14,15,28,30,7,29,26,30,6,26,28,3,26,25,25,30,30,30,26
SAU,24,30,30,26,30,29,22,29,30,30,27,30,30,30,0,26,30,30,24,18,20,30,30,24,29,26,30,0,26,27,16,26,14,29,30,30,30,26
SDN,24,30,30,26,30,29,22,29,29,30,29,30,30,30,2,26,30,28,24,7,26,14,30,20,29,26,30,2,26,27,7,26,19,17,30,28,30,26
