region_id,country_region,year,e0,imr,e65,s_to_65,e80,exp_death_0,exp_death_65,exp_death_80,adult_gap_65,era,is_total_pop,in_primary_allowlist,label,sex,low_e0
SWE,Sweden,1779,32.82,214.28,11.09,0.2683,5.8,32.82,76.09,85.8,43.27,pre_1850,True,True,Sweden,both,True
SWE,Sweden,1781,37.81,184.69,9.81,0.289,4.98,37.81,74.81,84.98,37.0,pre_1850,True,True,Sweden,both,True
SWE,Sweden,1782,36.66,182.43,8.94,0.2557,4.22,36.66,73.94,84.22,37.28,pre_1850,True,True,Sweden,both,True
SWE,Sweden,1783,33.72,193.32,9.95,0.2466,4.9,33.72,74.95,84.9,41.230000000000004,pre_1850,True,True,Sweden,both,True
SWE,Sweden,1784,31.44,196.97,10.2,0.2271999999999999,4.78,31.44,75.2,84.78,43.760000000000005,pre_1850,True,True,Sweden,both,True
SWE,Sweden,1785,33.48,193.45,9.8,0.2453,4.47,33.48,74.8,84.47,41.32,pre_1850,True,True,Sweden,both,True
SWE,Sweden,1786,37.9,207.61,9.66,0.2595,4.49,37.9,74.66,84.49,36.76,pre_1850,True,True,Sweden,both,True
SWE,Sweden,1788,36.82,214.45,10.1,0.2672,4.45,36.82,75.1,84.45,38.279999999999994,pre_1850,True,True,Sweden,both,True
SWE,Sweden,1789,31.23,218.99,9.93,0.1816,4.59,31.23,74.93,84.59,43.7,pre_1850,True,True,Sweden,both,True
SWE,Sweden,1790,33.6,201.33,9.93,0.2133,4.79,33.6,74.93,84.79,41.330000000000005,pre_1850,True,True,Sweden,both,True
SWE,Sweden,1791,38.45,191.87,9.67,0.2658,4.57,38.45,74.67,84.57,36.22,pre_1850,True,True,Sweden,both,True
SWE,Sweden,1792,39.84,207.56,10.53,0.3128,4.76,39.84,75.53,84.76,35.69,pre_1850,True,True,Sweden,both,True
SWE,Sweden,1793,39.64,199.79,10.52,0.3063,4.79,39.64,75.52,84.79,35.879999999999995,pre_1850,True,True,Sweden,both,True
SWE,Sweden,1795,36.55,198.04,9.07,0.2506,3.94,36.55,74.07,83.94,37.519999999999996,pre_1850,True,True,Sweden,both,True
SWE,Sweden,1796,38.88,202.17,10.42,0.3079,4.99,38.88,75.42,84.99,36.54,pre_1850,True,True,Sweden,both,True
SWE,Sweden,1799,39.34,194.81,9.51,0.2884,4.3,39.34,74.51,84.3,35.17,pre_1850,True,True,Sweden,both,True
SWE,Sweden,1800,32.19,227.06,8.73,0.2092,3.92,32.19,73.73,83.92,41.540000000000006,pre_1850,True,True,Sweden,both,True
SWE,Sweden,1801,36.91,209.21,9.98,0.267,4.42,36.91,74.98,84.42,38.07000000000001,pre_1850,True,True,Sweden,both,True
SWE,Sweden,1804,39.7,190.35,9.69,0.2811,4.49,39.7,74.69,84.49,34.989999999999995,pre_1850,True,True,Sweden,both,True
