state,fire_year,size_class,cause_class,n,acres
OR,2014,E,Natural,7,3363.3
OR,2014,F,Human,10,23908.0
OR,2014,F,Natural,20,55735.55
OR,2014,G,Human,4,43672.0
OR,2014,G,Natural,23,792616.86
OR,2015,A,Human,1009,91.87
OR,2015,A,Missing data/not specified/undetermined,2,0.2
OR,2015,A,Natural,776,90.14
OR,2015,B,Human,303,484.34
OR,2015,B,Natural,244,454.35
OR,2015,C,Human,52,1928.66
OR,2015,C,Natural,32,1004.49
OR,2015,D,Human,16,2795.6
OR,2015,D,Missing data/not specified/undetermined,1,148.0
OR,2015,D,Natural,15,2504.5
OR,2015,E,Human,9,4123.0
OR,2015,E,Natural,11,6958.2
OR,2015,F,Human,7,13536.8
OR,2015,F,Natural,3,8809.0
OR,2015,G,Human,6,138607.2
OR,2015,G,Natural,14,397587.7
OR,2016,A,Human,913,82.41
OR,2016,A,Natural,190,21.69
OR,2016,B,Human,304,506.45
OR,2016,B,Natural,73,149.93
OR,2016,C,Human,48,1561.21
OR,2016,C,Natural,7,203.7
OR,2016,D,Human,12,2020.0
OR,2016,D,Natural,8,1330.8
OR,2016,E,Human,8,5235.0
OR,2016,E,Missing data/not specified/undetermined,1,660.0
OR,2016,E,Natural,6,3043.0
OR,2016,F,Human,6,13482.2
OR,2016,F,Natural,1,2094.0
OR,2016,G,Human,4,120076.0
OR,2016,G,Natural,4,52740.6
OR,2017,A,Human,880,76.51
OR,2017,A,Natural,786,95.49000000000001
OR,2017,B,Human,250,451.62
OR,2017,B,Missing data/not specified/undetermined,1,0.5
OR,2017,B,Natural,312,554.36
OR,2017,C,Human,52,1482.16
OR,2017,C,Natural,66,2801.83
OR,2017,D,Human,14,2875.76
OR,2017,D,Natural,19,2986.1
OR,2017,E,Human,11,4767.0
OR,2017,E,Missing data/not specified/undetermined,1,310.0
OR,2017,E,Natural,23,14397.2
OR,2017,F,Human,4,6370.9
OR,2017,F,Natural,29,68717.2
OR,2017,G,Human,9,235257.0
OR,2017,G,Natural,16,438943.0
OR,2018,A,Human,948,88.41
OR,2018,A,Natural,404,48.42
OR,2018,B,Human,307,569.59
OR,2018,B,Missing data/not specified/undetermined,1,5.0
OR,2018,B,Natural,151,273.29
OR,2018,C,Human,70,2155.44
OR,2018,C,Natural,42,1482.4
OR,2018,D,Human,13,2090.8
OR,2018,D,Natural,12,1664.5
OR,2018,E,Human,15,7220.5
OR,2018,E,Missing data/not specified/undetermined,3,1914.0
OR,2018,E,Natural,9,5508.7
OR,2018,F,Human,7,14772.9
OR,2018,F,Natural,11,22594.0
OR,2018,G,Human,7,220772.0
OR,2018,G,Missing data/not specified/undetermined,1,23600.0
OR,2018,G,Natural,14,433883.9
OR,2019,A,Human,811,71.58
OR,2019,A,Natural,802,86.87
OR,2019,B,Human,232,400.18
OR,2019,B,Missing data/not specified/undetermined,1,1.1
OR,2019,B,Natural,184,267.81
OR,2019,C,Human,41,1283.28
OR,2019,C,Natural,41,1373.94
OR,2019,D,Human,11,1736.12
OR,2019,D,Natural,13,2200.0
OR,2019,E,Human,4,1967.0
OR,2019,E,Natural,7,3819.0
OR,2019,F,Human,2,3207.0
OR,2019,F,Natural,4,6270.0
OR,2019,G,Human,1,13119.0
OR,2019,G,Natural,3,38623.0
OR,2020,A,Human,1051,96.72
OR,2020,A,Missing data/not specified/undetermined,28,3.25
OR,2020,A,Natural,486,56.470000000000006
OR,2020,B,Human,269,489.45
OR,2020,B,Missing data/not specified/undetermined,18,48.39
OR,2020,B,Natural,128,218.15
OR,2020,C,Human,46,1606.62
OR,2020,C,Missing data/not specified/undetermined,5,204.5
OR,2020,C,Natural,32,1277.9
OR,2020,D,Human,6,1029.75
OR,2020,D,Missing data/not specified/undetermined,2,229.0
OR,2020,D,Natural,12,2145.3
OR,2020,E,Human,13,7016.0
OR,2020,E,Missing data/not specified/undetermined,2,1264.9
OR,2020,E,Natural,9,5113.8
OR,2020,F,Human,5,8422.0
OR,2020,F,Missing data/not specified/undetermined,3,6644.0
OR,2020,F,Natural,7,26498.0
OR,2020,G,Human,5,257372.0
OR,2020,G,Missing data/not specified/undetermined,6,573737.0
OR,2020,G,Natural,3,231886.0
PA,1992,A,Human,10,1.1
PA,1992,B,Human,6,4.6
PA,1992,C,Human,1,54.0
PA,1993,A,Human,13,1.7000000000000002
PA,1993,A,Natural,1,0.1
PA,1993,B,Human,4,5.1
PA,1993,C,Human,1,33.9
PA,1994,A,Human,4,0.5
PA,1994,A,Natural,2,0.2
PA,1994,B,Human,11,22.3
PA,1994,B,Natural,1,1.5
PA,1994,C,Human,2,42.0
PA,1995,A,Human,10,1.1
PA,1995,B,Human,11,20.6
PA,1995,C,Human,1,29.5
PA,1996,A,Human,6,0.8
PA,1996,A,Missing data/not specified/undetermined,1,0.1
PA,1996,B,Human,5,18.0
PA,1997,A,Human,2,0.2
PA,1997,B,Human,6,19.5
PA,1997,C,Human,4,88.0
PA,1998,A,Human,5,0.5
PA,1998,A,Natural,1,0.1
PA,1998,B,Human,11,23.6
PA,1998,C,Human,1,30.0
PA,1999,A,Human,9,0.9
PA,1999,B,Human,15,35.1
PA,1999,C,Human,4,51.8
PA,1999,C,Natural,1,32.0
PA,1999,E,Human,1,374.0
PA,2000,A,Human,3,0.30000000000000004
PA,2000,B,Human,8,16.8
PA,2000,C,Human,2,39.599999999999994
PA,2000,E,Natural,1,300.0
PA,2001,A,Human,11,1.5
PA,2001,A,Missing data/not specified/undetermined,1,0.2
PA,2001,A,Natural,1,0.1
PA,2001,B,Human,18,32.9
PA,2001,C,Human,2,58.0
PA,2001,D,Human,1,150.0
PA,2001,E,Human,1,500.0
PA,2001,F,Human,2,3730.0
PA,2002,A,Human,215,28.0049
PA,2002,A,Natural,23,1.900859
PA,2002,B,Human,316,678.61
PA,2002,B,Natural,22,84.75
PA,2002,C,Human,41,1028.5
PA,2002,C,Natural,4,87.9
PA,2002,D,Human,6,1014.1
PA,2002,D,Natural,1,250.0
PA,2003,A,Human,129,14.49158
PA,2003,A,Natural,2,0.2
PA,2003,B,Human,234,539.19
PA,2003,B,Natural,3,23.3
PA,2003,C,Human,35,825.4399999999999
PA,2003,C,Natural,1,11.6
PA,2003,D,Human,2,325.0
PA,2003,E,Human,1,342.9
PA,2004,A,Human,86,10.65999
PA,2004,B,Human,95,206.34
PA,2004,B,Natural,1,1.5
PA,2004,C,Human,10,282.89
PA,2004,F,Human,1,2265.0
PA,2005,A,Human,270,34.043
PA,2005,A,Natural,4,0.023
PA,2005,B,Human,428,941.8
PA,2005,B,Natural,4,11.9
PA,2005,C,Human,69,1403.93
PA,2005,C,Natural,2,47.099999999999994
PA,2005,D,Human,5,976.2
PA,2005,E,Human,1,755.0
PA,2006,A,Human,338,42.5306
PA,2006,A,Natural,2,0.26
PA,2006,B,Human,457,960.1
PA,2006,B,Missing data/not specified/undetermined,1,1.0
PA,2006,B,Natural,2,7.2
PA,2006,C,Human,62,1438.14
PA,2006,C,Natural,2,50.0
PA,2006,D,Human,3,469.0
PA,2006,E,Human,6,3582.68
PA,2006,F,Human,1,1329.0
PA,2007,A,Human,242,30.709
PA,2007,A,Missing data/not specified/undetermined,1,0.1
PA,2007,A,Natural,11,1.02
PA,2007,B,Human,228,446.09
PA,2007,B,Natural,6,13.01
PA,2007,C,Human,25,505.15
PA,2007,D,Human,1,135.0
PA,2008,A,Human,240,28.9171
PA,2008,A,Natural,1,0.1
PA,2008,B,Human,362,764.76
PA,2008,B,Missing data/not specified/undetermined,1,0.6
PA,2008,B,Natural,5,20.2
PA,2008,C,Human,38,894.89
PA,2008,D,Human,2,426.0
PA,2008,E,Human,2,1475.0
PA,2008,F,Human,1,4000.0
PA,2009,A,Human,214,29.3563
PA,2009,A,Natural,1,0.01
PA,2009,B,Human,349,685.99
PA,2009,C,Human,59,1596.21
PA,2009,C,Missing data/not specified/undetermined,1,10.0
PA,2009,C,Natural,1,29.5
PA,2009,D,Human,4,845.9
PA,2009,D,Missing data/not specified/undetermined,1,100.0
PA,2009,E,Missing data/not specified/undetermined,1,780.0
PA,2009,F,Missing data/not specified/undetermined,1,2126.0
PA,2010,A,Human,240,31.03079
PA,2010,A,Natural,5,0.65
PA,2010,B,Human,281,621.25
PA,2010,B,Natural,4,12.0
PA,2010,C,Human,45,1206.89
PA,2010,C,Natural,1,85.0
PA,2010,D,Human,4,648.0
PA,2010,D,Natural,1,161.0
PA,2010,E,Human,2,734.0
PA,2011,A,Human,94,10.780000000000001
PA,2011,A,Natural,5,0.42000000000000004
PA,2011,B,Human,82,163.54
PA,2011,B,Natural,5,17.07
PA,2011,C,Human,15,387.6
PA,2012,A,Human,251,31.82
PA,2012,A,Natural,6,0.42000000000000004
PA,2012,B,Human,408,822.55
PA,2012,B,Natural,5,13.5
PA,2012,C,Human,49,1270.02
PA,2012,C,Natural,1,10.25
PA,2012,D,Human,3,318.0
PA,2012,E,Human,1,741.0
PA,2013,A,Human,258,36.32
PA,2013,A,Natural,2,0.15000000000000002
PA,2013,B,Human,348,593.4
PA,2013,B,Natural,1,2.2
PA,2013,C,Human,26,548.7
PA,2013,C,Natural,1,10.0
PA,2013,D,Human,2,242.0
PA,2013,E,Human,1,352.0
PA,2014,A,Human,274,41.51
PA,2014,A,Natural,1,0.1
PA,2014,B,Human,529,1025.89
PA,2014,C,Human,68,1612.68
PA,2014,E,Human,3,1831.0
PA,2015,A,Human,247,39.67
PA,2015,A,Natural,5,0.65
PA,2015,B,Human,491,929.08
PA,2015,C,Human,60,1338.64
PA,2015,D,Human,2,306.2
PA,2015,E,Human,2,1522.0
PA,2016,A,Human,336,50.620000000000005
PA,2016,A,Natural,6,0.6000000000000001
PA,2016,B,Human,449,828.13
PA,2016,B,Natural,3,5.21
PA,2016,C,Human,51,1382.91
PA,2016,C,Natural,2,119.0
PA,2016,D,Human,3,463.0
PA,2016,E,Human,3,1386.4
PA,2016,G,Human,1,7949.2
PA,2017,A,Human,235,34.33
PA,2017,A,Natural,1,0.1
PA,2017,B,Human,284,483.75
PA,2017,B,Natural,1,0.5
PA,2017,C,Human,16,297.63
PA,2017,D,Human,4,838.3
PA,2018,A,Human,280,42.7
PA,2018,A,Natural,2,0.2
PA,2018,B,Human,387,635.98
PA,2018,C,Human,25,488.21
PA,2018,E,Human,1,688.0
PA,2019,A,Human,243,34.64
PA,2019,A,Natural,1,0.1
PA,2019,B,Human,287,420.91
PA,2019,C,Human,14,239.08
PA,2020,A,Human,789,115.10000000000001
PA,2020,A,Missing data/not specified/undetermined,1,0.1
PA,2020,A,Natural,5,0.5800000000000001
PA,2020,B,Human,678,1131.99
